event_id,user_id,max_training_id,date,part_code,memo,created_at,updated_at
EV0349a112026366e4956e618b6faf12d0,USa1202e1292e76052459edacd41a9eb5a,TR5cdf5d960c8e65bc3342cfc1edd17bd7,2020-01-18,04,,"2020-02-09 17:41:57","2020-02-09 17:57:23"
EV06ada2b7dbf59024d7a8e950378685c5,USa1202e1292e76052459edacd41a9eb5a,TR423b335c922bf64c33fa4c3b12c4b2a8,2020-01-24,02,,"2020-02-09 17:40:45","2020-02-09 18:10:03"
EV1324d23d803e58a59c9bd178f6304111,USa1202e1292e76052459edacd41a9eb5a,TR2112ec12697e82fecd6c36950a7e0e98,2020-01-28,06,,"2020-02-09 17:39:51","2020-02-09 18:21:44"
EV1572d4c14073365491c3016042194bc1,USa1202e1292e76052459edacd41a9eb5a,TRee2ae6f491cce70b9d840d14d6f9dd3f,2020-02-01,07,,"2020-02-09 17:37:20","2020-02-11 16:03:30"
EV163011acca04864803fb96083bf4bd9e,USa1202e1292e76052459edacd41a9eb5a,TR21efdbdd04478d4e655add5de1625e68,2020-02-08,02,※腸内環境が微妙で、屁が出たり、うんこ出そうになった,"2020-02-09 17:38:11","2020-02-09 18:31:55"
EV1c3c1d4c1ce2a470468886918bb355c7,USa1202e1292e76052459edacd41a9eb5a,TRab9f1d98c8c3632254f5793698f6190c,2020-02-10,04,,"2020-02-10 04:37:05","2020-02-10 07:28:54"
EV236bb12035db328d081abcc1d178833c,USa1202e1292e76052459edacd41a9eb5a,TR48c38a6c0c7778cd5cdc5a8b3842901d,2020-01-10,02,,"2020-02-09 17:44:27","2020-02-09 17:49:21"
EV278729875dac3cba4e40d825f148b9a5,USa1202e1292e76052459edacd41a9eb5a,TR123928f1839ccb67c8703b122d531f93,2020-01-28,04,,"2020-02-09 17:39:42","2020-02-09 18:21:07"
EV2a3b74a157f44949793c5807048ac7d6,USa1202e1292e76052459edacd41a9eb5a,TRca270372d88d6f3b43d921c4383376a5,2020-01-22,04,,"2020-02-09 17:41:11","2020-02-09 18:06:34"
EV2cbef4af451aeac3212a0cacbe7c14da,USa1202e1292e76052459edacd41a9eb5a,,2020-01-17,05,,"2020-02-09 17:43:03","2020-02-09 17:43:03"
EV2f15243d3fc2785438473b3fd89f3af7,USa1202e1292e76052459edacd41a9eb5a,TR7325ca7a3dbffdcde0117fb8d0031e44,2020-02-07,06,,"2020-02-09 17:37:04","2020-02-09 18:31:21"
EV315693cb0c00b8f9fca7731dedd461df,USa1202e1292e76052459edacd41a9eb5a,TRb275b4a01f73c6d4dbef2d287b1be7fb,2020-02-11,03,,"2020-02-11 05:35:44","2020-02-11 06:13:19"
EV356d693077a9a29c002c4e1f178e8371,USa1202e1292e76052459edacd41a9eb5a,,2020-01-17,07,,"2020-02-09 17:43:06","2020-02-09 17:43:06"
EV373cb7634db3c0fb599768fc6ea5af09,USa1202e1292e76052459edacd41a9eb5a,TRdbcac8265d4fc637e395d6147fe392bd,2020-01-14,06,,"2020-02-09 17:43:21","2020-02-09 17:53:43"
EV3b6a379c4685b8857aecdfca15edd824,USa1202e1292e76052459edacd41a9eb5a,TRe598be57345cc5b201c1731cb6ff41bb,2020-02-10,07,,"2020-02-10 06:21:29","2020-02-10 06:23:28"
EV3d5597b20b6cf385953c392bf83676a3,USa1202e1292e76052459edacd41a9eb5a,TR140b32baa4997bf245439a3aa0bfcded,2020-01-30,07,,"2020-02-09 17:39:29","2020-02-09 18:24:05"
EV3d9218062370e574fbf8fd8842db5419,USa1202e1292e76052459edacd41a9eb5a,TR5f13f5dac96614e1befa315f59483440,2020-02-14,01,,"2020-02-14 05:02:30","2020-02-16 13:04:52"
EV3edebb5b0a689d3c2c02c138c3ba956c,USa1202e1292e76052459edacd41a9eb5a,TR888587633265bb88af0f3da582cff575,2020-01-25,01,,"2020-02-09 17:40:26","2020-02-09 18:13:09"
EV422004bc1ccdcc154f2986d1158df2d8,USa1202e1292e76052459edacd41a9eb5a,TR4bc3562057f292236a10aba38323cc7b,2020-01-07,01,,"2020-02-09 17:44:37","2020-02-09 17:47:26"
EV42fc98c52af1b3a3659b6daa6b843469,USa1202e1292e76052459edacd41a9eb5a,TR460ff95b3423d65ba9001b956295aa93,2020-02-16,07,,"2020-02-16 06:53:48","2020-02-16 07:01:26"
EV43b3310ffb62deff33acc54962768bea,USa161ff553b083c68043bfc3dd1cc0d1a,TRd24d258254229ff7a19f353c3ba501f9,2020-02-16,01,,"2020-02-16 15:56:47","2020-02-16 16:00:31"
EV47638073640b6d787d05b0be52da71ea,USa1202e1292e76052459edacd41a9eb5a,TR757cb40c17b7c5e7da19b06dbdcea9f7,2020-02-01,03,,"2020-02-09 17:37:14","2020-02-11 16:03:18"
EV62e4ddfb9cfabb72be7eda18b7884424,USa1202e1292e76052459edacd41a9eb5a,TR9407ac657e3e4fd07c23a824459f9b6d,2020-01-02,01,,"2020-02-09 17:31:28","2020-02-09 17:31:54"
EV67164ee4899a7eff40ae78330339ae9c,USa1202e1292e76052459edacd41a9eb5a,TR79d35ca6a45da962e584daf1f9232aee,2020-01-17,02,,"2020-02-09 17:42:58","2020-02-09 17:54:21"
EV6cba5b1d9a89f03ccb7f55b6122ff58e,USa1202e1292e76052459edacd41a9eb5a,TRf99d4e5b13f0c2035cdc3326f15f1673,2020-01-25,06,,"2020-02-09 17:40:31","2020-02-09 18:15:48"
EV6cdf34df2243b3cfb3c1bac8cfefbfb2,USa1202e1292e76052459edacd41a9eb5a,TR52855dc21425b06474958e71c05a0fc4,2020-02-08,05,,"2020-02-09 17:36:46","2020-02-09 18:33:01"
EV6cf7516252331f7a1b17a9ea3cafb127,USa1202e1292e76052459edacd41a9eb5a,,2020-01-12,07,,"2020-02-09 17:43:38","2020-02-09 17:43:38"
EV6e2c9df282c78e4283c11966c17cc24f,USa1202e1292e76052459edacd41a9eb5a,TRfd459510b9c403a3f7bee2b5d6739bd6,2020-01-18,07,,"2020-02-09 17:42:06","2020-02-09 18:00:07"
EV7161761010d92415ff67678c6d1aec54,USa1202e1292e76052459edacd41a9eb5a,TR0eea4954de3fbedb0fe17f6312e0f29d,2020-01-21,03,,"2020-02-09 17:41:24","2020-02-09 18:03:09"
EV784e31c9ca77fbca0753f4858ba20345,USa1202e1292e76052459edacd41a9eb5a,TR1fce1daa108a4062012280fba29a5857,2020-02-07,01,,"2020-02-09 17:36:59","2020-02-09 18:30:10"
EV7e0aab3fcf1c28bf28df54dc0be494ae,USa1202e1292e76052459edacd41a9eb5a,TR94a4f494c8437b322bb3127490525b4b,2020-02-16,05,,"2020-02-16 06:40:36","2020-02-16 06:43:40"
EV7e8f7fec09b884c890097d0e95cf44d3,USa161ff553b083c68043bfc3dd1cc0d1a,,2020-02-22,01,,"2020-02-16 16:01:08","2020-02-16 16:01:08"
EV7f171d70b0469320ae45f04a07d2d53b,USa1202e1292e76052459edacd41a9eb5a,TR8e2f135fc966c0401b52e4533db1e0be,2020-01-25,07,,"2020-02-09 17:40:36","2020-02-09 18:15:37"
EV82760e7f33e031619bded33017547b93,USa1202e1292e76052459edacd41a9eb5a,TR249697f32e3516bfade75dcf3654da09,2020-01-24,07,,"2020-02-09 17:40:52","2020-02-09 18:12:33"
EV833a4c47c1bcca99c155433b71af013a,USa1202e1292e76052459edacd41a9eb5a,TR03f652d8a7ed40aadb0d8c7d20d33be0,2020-01-18,06,,"2020-02-09 17:42:02","2020-02-09 17:58:24"
EV8b7a4f44b3e8c1a654aa147fd7407aa0,USa1202e1292e76052459edacd41a9eb5a,TR20b5dfd47f3c58491c06e756fda95421,2020-01-28,07,,"2020-02-09 17:39:54","2020-02-09 18:22:35"
EV9ca26187db603d75b43bcfa00fc414d4,USa1202e1292e76052459edacd41a9eb5a,TR2c743421331037d6031f5e872bcace8f,2020-01-31,02,,"2020-02-09 17:38:32","2020-02-09 18:24:44"
EVab0dcb51689ae75261b59abbd00ded9f,USa1202e1292e76052459edacd41a9eb5a,TRbab2aa498e9c24d803235aca69db9d4d,2020-01-26,03,,"2020-02-09 17:40:16","2020-02-09 18:16:38"
EVadf11c224a2c74ccd9d86f74c57ac68f,USa1202e1292e76052459edacd41a9eb5a,TRde14c98b494780138cac67b448c8c20f,2020-01-06,03,,"2020-02-09 17:45:18","2020-02-09 17:46:02"
EVb16a1483312168b225c390a7c0276a2b,USa1202e1292e76052459edacd41a9eb5a,TRac8be5b08e2870b3afc98ec960ccbc42,2020-01-20,01,国府台,"2020-02-09 18:00:51","2020-02-09 18:01:20"
EVb48ec90085d8a605d175b2c05f9974ba,USa1202e1292e76052459edacd41a9eb5a,TR29f71de169ccf6cbbcfa85aee960df99,2020-02-10,06,,"2020-02-10 06:12:47","2020-02-10 06:14:36"
EVb4d1a79cbd50358c2bb687fe8ce1ef18,USa1202e1292e76052459edacd41a9eb5a,,2020-01-06,07,,"2020-02-09 17:45:22","2020-02-09 17:45:22"
EVbee46f490625ef39ac1c6160168586ff,USa1202e1292e76052459edacd41a9eb5a,TR8f065cd8ddc186fdec73e91e9fd29add,2020-01-21,07,,"2020-02-09 17:41:28","2020-02-09 18:05:56"
EVc1da4304747a5de94f54169005519151,USa161ff553b083c68043bfc3dd1cc0d1a,TR4cdcd19c6742fd15fec4de2627af0a88,2020-02-17,01,,"2020-02-16 16:00:40","2020-02-16 16:00:54"
EVc3747fd73b6608b42bfd82d4e22576b7,USa1202e1292e76052459edacd41a9eb5a,TRda59224e87ab3a1180e95af690f57237,2020-01-24,05,,"2020-02-09 17:40:49","2020-02-09 18:11:49"
EVc790c09ee9324b0bc85efdb5d8df702e,USa1202e1292e76052459edacd41a9eb5a,TRd6775cdfb44b21c78b17f840a058e75d,2020-01-30,01,,"2020-02-09 17:39:19","2020-02-09 18:22:53"
EVc7a55ac51db1ecc5df170aba34f2360f,USa1202e1292e76052459edacd41a9eb5a,TR681c939f0b24112fe91912fd1d563325,2020-01-11,06,,"2020-02-09 17:43:50","2020-02-09 17:51:19"
EVc822fde3981ea48c6d8c59ea1c55b4cf,USa1202e1292e76052459edacd41a9eb5a,TR778a9fd9f4f50fbb572a02653af72028,2020-01-05,04,,"2020-02-09 17:34:33","2020-02-09 17:34:46"
EVcd57a9512309eb96c29187a9fb283f32,USa1202e1292e76052459edacd41a9eb5a,TRb289ae9055bcf9e5579618b5b0acf80b,2020-02-16,02,,"2020-02-16 05:47:41","2020-02-17 17:50:32"
EVd18a542654e6a9aef7ebf1d3a83b7821,USa1202e1292e76052459edacd41a9eb5a,TR21d6a2ba0f4f2b432792acbe2a4e5b86,2020-01-22,06,,"2020-02-09 17:41:16","2020-02-09 18:08:35"
EVe74997d4bc10057a4126e2c888970641,USa1202e1292e76052459edacd41a9eb5a,TRdb0c9544ed69ebd613b9d551787f491a,2020-01-04,02,,"2020-02-09 17:33:35","2020-02-09 17:33:51"
EVe904ad599dd3c472fe4bcc446377bad5,USa1202e1292e76052459edacd41a9eb5a,,2020-01-20,06,,"2020-02-09 17:41:42","2020-02-09 17:41:42"
EVf4c8b8ccd1d331de7487278758e972fa,USa1202e1292e76052459edacd41a9eb5a,TR43197385c70bac87ba0158f37c481104,2020-01-14,01,,"2020-02-09 17:43:16","2020-02-09 17:52:44"
EVf697113409706e4dd38bfeabf3859859,USa1202e1292e76052459edacd41a9eb5a,TR7332f5c8c398d274e744453390fe2298,2020-01-12,03,,"2020-02-09 17:43:33","2020-02-09 17:52:02"
EVf8b2676a308446a4d57e6bfc46cf3980,USa1202e1292e76052459edacd41a9eb5a,TR4e1f19f4ca164b9bb5cbf190391f0032,2020-01-11,04,,"2020-02-09 17:43:46","2020-02-09 17:50:29"
EVfb7f99ba2346cb70b4249d19c55ebc38,USa1202e1292e76052459edacd41a9eb5a,TRf8a52c7192e53a24fbaf5080435e4871,2020-01-30,06,,"2020-02-09 17:39:25","2020-02-09 18:23:33"
EVfc3eaf264d18682f88dcefffba3d71e6,USa1202e1292e76052459edacd41a9eb5a,TR5581e1f75171861ad7ccf9190162df1f,2020-01-07,06,テスト　テスト,"2020-02-09 17:45:05","2020-02-09 17:48:43"
